fullName,parkCode,states,latitude,longitude,description_length,num_activities
Abraham Lincoln Birthplace National Historical Park,abli,KY,37.5858662,-85.67330523,392,15
Acadia National Park,acad,ME,44.409286,-68.247501,396,46
Adams National Historical Park,adam,MA,42.2553961,-71.01160356,298,8
African American Civil War Memorial,afam,DC,38.9166,-77.026,252,2
African Burial Ground National Monument,afbg,NY,40.71452681,-74.00447358,326,7
Agate Fossil Beds National Monument,agfo,NE,42.42170419,-103.753886,395,16
Ala Kahakai National Historic Trail,alka,HI,19.144668109,-155.890734294,387,43
Alagnak Wild River,alag,AK,59.05180188,-156.112002,361,12
Alaska Public Lands,anch,AK,61.2188,-149.894536,352,0
Alcatraz Island,alca,CA,37.82676234,-122.4230206,380,6
Aleutian Islands World War II National Historic Area,aleu,AK,53.9143,-166.5197,387,7
Alibates Flint Quarries National Monument,alfl,TX,35.5819662,-101.6717008,199,7
Allegheny Portage Railroad National Historic Site,alpo,PA,40.42977467,-78.57431622,387,13
Amache National Historic Site,amch,CO,38.04962,-102.32903,309,3
American Memorial Park,amme,MP,15.21680033,145.7231096,391,22
Amistad National Recreation Area,amis,TX,29.53539777,-101.075821,387,29
Anacostia Park,anac,DC,38.8782,-76.9703,234,15
Andersonville National Historic Site,ande,GA,32.19831758,-84.12988898,397,19
Andrew Johnson National Historic Site,anjo,TN,36.15624509,-82.83709021,399,5
Aniakchak National Monument & Preserve,ania,AK,56.85317675,-157.5544362,393,11
Antietam National Battlefield,anti,MD,39.46763452,-77.73828017,285,17
Apostle Islands National Lakeshore,apis,WI,46.96240467,-90.66045665,392,29
Appalachian National Scenic Trail,appa,"CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV",40.41029575,-76.4337548,399,18
Appomattox Court House National Historical Park,apco,VA,37.38022164,-78.79856982,280,19
Arches National Park,arch,UT,38.72261844,-109.5863666,332,18
Arkansas Post National Memorial,arpo,AR,34.00389998,-91.30837178,203,25
"Arlington House, The Robert E. Lee Memorial",arho,VA,38.8822021484,-77.0734786987,383,3
Assateague Island National Seashore,asis,"MD,VA",38.05593172,-75.24524611,294,41
Aztec Ruins National Monument,azru,NM,36.83682216,-107.9999245,395,11
Badlands National Park,badl,SD,43.68584846,-102.482942,342,21
Baltimore-Washington Parkway,bawa,MD,39.02604289,-76.85410921,138,2
Bandelier National Monument,band,NM,35.77898596,-106.3317124,280,28
Belmont-Paul Women's Equality National Monument,bepa,DC,38.89231541,-77.00381882,395,7
Bent's Old Fort National Historic Site,beol,CO,38.03977546,-103.4266499,399,17
Bering Land Bridge National Preserve,bela,AK,65.96087902,-164.4086432,365,13
Big Bend National Park,bibe,TX,29.29817767,-103.2297897,397,24
Big Cypress National Preserve,bicy,FL,25.97079602,-81.08120629,383,34
Big Hole National Battlefield,biho,MT,45.64647324,-113.6458443,279,21
Big South Fork National River & Recreation Area,biso,"KY,TN",36.5348388,-84.66506688,390,31
Big Thicket National Preserve,bith,TX,30.457983431,-94.386742115,392,24
Bighorn Canyon National Recreation Area,bica,"MT,WY",45.13154227,-108.1443943,353,48
Birmingham Civil Rights National Monument,bicr,AL,33.5154266357,-86.814666748,365,3
Biscayne National Park,bisc,FL,25.490587,-80.21023851,399,24
Black Canyon Of The Gunnison National Park,blca,CO,38.57779869,-107.7242756,319,26
Blackstone River Valley National Historical Park,blrv,"RI,MA",41.8775792792,-71.382433945,392,13
Blackwell School National Historic Site,blsc,TX,30.3057966497568,-104.022553112857,385,0
Blue Ridge Parkway,blri,"NC,VA",35.5657195274,-82.486484587,395,19
Bluestone National Scenic River,blue,WV,37.56577087,-80.98366657,387,15
Booker T Washington National Monument,bowa,VA,37.11520539,-79.73185833,357,14
Boston African American National Historic Site,boaf,MA,42.35908295,-71.06764181,358,4
Boston Harbor Islands National Recreation Area,boha,MA,42.30905526,-70.93941138,390,20
Boston National Historical Park,bost,MA,42.36957407,-71.05536763,175,5
Brices Cross Roads National Battlefield Site,brcr,MS,34.50611958,-88.72889343,185,3
Brown v. Board of Education National Historical Park,brvb,KS,39.03787665,-95.67614437,394,4
Bryce Canyon National Park,brca,UT,37.58399144,-112.1826689,319,30
